#진원시,규모,위도,경도,위치
2014-10-20 21:15,2.2,33.68 N,125.88 E,제주 제주시 고산 북북서쪽 50km 해역
2014-10-19 19:57,2.6,36.44 N,128.19 E,경북 상주시 북동쪽 4km 지역
2014-10-11 22:11,2.3,37.73 N,129.43 E,강원 동해시 북동쪽 36km 해역
2014-10-07 1:57,2.9,33.30 N,125.96 E,제주 제주시 고산 서쪽 19km 해역
2014-10-01 16:34,2.2,36.67 N,125.45 E,충남 태안군 서격렬비도 북서쪽 11km 해역
2014-09-28 21:32,3.2,37.24 N,126.44 E,인천 옹진군 남서쪽 30km 지역
2014-09-25 2:26,3.8,35.07 N,129.94 E,울산 동구 남동쪽 67km 해역
2014-09-23 15:27,3.5,35.80 N,129.41 E,경북 경주시 동남동쪽 18km 지역
2014-09-09 0:24,2.2,35.68 N,129.38 E,경북 경주시 남동쪽 23km 지역
2014-08-21 22:30,2.7,33.87 N,127.83 E,전남 여수시 거문도 동남동쪽 51km 해역
2014-08-18 5:13,2.1,36.57 N,125.64 E,충남 태안군서격렬비도 동남동쪽 10km 해역
2014-08-16 0:51,2.1,33.59 N,126.58 E,제주 제주시 북북동쪽 11km 해역
